created_at,entry_id,field1,field2,field3,field4,field5,field6
2023-08-06T15:52:04+0100,1,2023-08-06T15:52:04+0100,33.71208190917969,25.85601806640625,1023,34.2,29.0
2023-08-06T15:52:12+0100,2,2023-08-06T15:52:12+0100,33.35960388183594,26.47247314453125,1032,34.2,29.0
2023-08-06T15:52:20+0100,3,2023-08-06T15:52:20+0100,32.902984619140625,27.33612060546875,1011,34.2,29.0
2023-08-06T15:52:29+0100,4,2023-08-06T15:52:29+0100,32.25677490234375,29.04815673828125,1005,34.2,29.0
2023-08-06T15:52:37+0100,5,2023-08-06T15:52:37+0100,31.404953002929688,30.6060791015625,924,34.2,29.0
2023-08-06T15:52:46+0100,6,2023-08-06T15:52:46+0100,30.924301147460938,31.53533935546875,860,34.2,29.0
2023-08-06T15:52:54+0100,7,2023-08-06T15:52:54+0100,30.10986328125,33.53118896484375,826,34.2,29.0
2023-08-06T15:53:03+0100,8,2023-08-06T15:53:03+0100,29.364852905273438,35.46295166015625,774,34.2,29.0
2023-08-06T15:53:11+0100,9,2023-08-06T15:53:11+0100,28.790740966796875,37.0147705078125,686,34.2,29.0
2023-08-06T15:53:20+0100,10,2023-08-06T15:53:20+0100,28.515701293945312,37.81280517578125,666,34.2,29.0
2023-08-06T15:53:28+0100,11,2023-08-06T15:53:28+0100,28.053741455078125,39.1876220703125,601,34.2,29.0
2023-08-06T15:53:37+0100,12,2023-08-06T15:53:37+0100,27.623825073242188,40.55328369140625,570,34.2,29.0
2023-08-06T15:53:45+0100,13,2023-08-06T15:53:45+0100,27.244644165039062,41.8426513671875,571,34.2,29.0
2023-08-06T15:53:54+0100,14,2023-08-06T15:53:54+0100,27.06573486328125,42.3614501953125,568,34.2,29.0
2023-08-06T15:54:02+0100,15,2023-08-06T15:54:02+0100,26.782684326171875,43.511962890625,554,34.2,29.0
2023-08-06T15:54:10+0100,16,2023-08-06T15:54:10+0100,26.547698974609375,44.40155029296875,535,34.2,29.0
2023-08-06T15:54:19+0100,17,2023-08-06T15:54:19+0100,26.3714599609375,45.23162841796875,519,34.2,29.0
2023-08-06T15:54:27+0100,18,2023-08-06T15:54:27+0100,26.251296997070312,45.60546875,493,34.2,29.0
2023-08-06T15:54:36+0100,19,2023-08-06T15:54:36+0100,26.099090576171875,46.34857177734375,478,34.2,29.0
2023-08-06T15:54:44+0100,20,2023-08-06T15:54:44+0100,25.9869384765625,46.8994140625,431,34.2,29.0
2023-08-06T15:54:52+0100,21,2023-08-06T15:54:52+0100,25.853424072265625,47.5189208984375,433,34.2,29.0
